No:,3 month,1 month,1 week,Patients num,,,,,,
416,1,1,1.018,44,,,,,,
417,1,1,1.01,71,,,,,,
418,1,1,1,20,,,,,,
419,1,1,1,97,,,,,,
420,1,1,1,79,,,,,,
421,1,1,1.244,83,,,,,,
422,1,1,1.007,58,,,,,,
423,1,1,1,58,,,,,,
424,1,1,1,48,,,,,,
425,1,1,1,100,,,,,,
426,1,1,1,93,,,,,,
427,1,1,1,102,,,,,,
428,1,1,0.96,48,,,,,,
429,1,1,1.141,120,,,,,,
430,1,1,1.093,129,,,,,,
431,1,1,1,72,,,,,,
432,1,1,1.446,25,,,,,,
433,1,1,0.465,117,,,,,,
434,1,1,0.605,92,,,,,,
435,1,1,0.284,88,,,,,,
436,1,1,1,57,,,,,,
437,1,1,1,49,,,,,,
438,1,1,1.028,33,,,,,,
439,1,1,0.404,59,,,,,,
440,1,1,1,38,,,,,,
441,1,1,0.554,35,,,,,,
442,1,1,1,143,,,,,,
443,1,1,2.227,76,,,,,,
444,1,1,1,47,,,,,,
445,1,1,1,82,,,,,,
446,1,1,1,76,,,,,,
447,1,1,1,72,,,,,,
448,1,1,1,25,,,,,,
449,1,1,1,48,,,,,,
450,1,1,1.129,91,,,,,,
451,1,1,1,58,,,,,,
452,1,1,1,62,,,,,,
453,1,1,1.03,35,,,,,,
454,1,1,1,86,,,,,,
455,1,1,0.677,86,,,,,,
456,1,1,1.014,82,,,,,,
457,1,1,1.049,76,,,,,,
458,1,1,1,116,,,,,,
459,1,1,0.564,57,,,,,,
460,1,1,1,51,,,,,,
461,1,1,1,34,,,,,,
462,1,1,1,105,,,,,,
463,1,1,1.014,107,,,,,,
464,1,1,1.192,54,,,,,,
465,1,1,1,72,,,,,,
466,1,1,0.963,58,,,,,,
467,1,1,1.021,72,,,,,,
468,1,1,0.924,38,,,,,,
469,1,1,1.221,36,,,,,,
470,1,1,1.075,98,,,,,,
471,1,1,1.365,83,,,,,,
472,1,1,1.2,50,,,,,,
473,1,1,1,101,,,,,,
474,1,1,1.221,51,,,,,,
475,1,1,1,57,,,,,,
476,1,1,1,101,,,,,,
477,1,1,1.329,108,,,,,,
478,1,1,0.828,37,,,,,,
479,1,0.907,2.29,91,,,,,,
480,1,1,1.841,94,,,,,,
481,1,1,1,92,,,,,,
482,1,1,1.029,121,,,,,,
483,1,1,0.851,68,,,,,,
484,1,1,1,94,,,,,,
485,1,1,0.973,110,,,,,,
486,1,1,0.976,98,,,,,,
487,1,1,0.485,80,,,,,,
488,1,1,3.034,84,,,,,,
489,1,1,0.514,78,,,,,,
490,1,1,0.933,82,,,,,,
491,1,1,1.614,52,,,,,,
492,1,1,1.07,120,,,,,,
493,1,1,1,51,,,,,,
494,1,1,1,112,,,,,,
495,1,1,1.62,100,,,,,,
496,1,1,1.009,77,,,,,,
497,1,1,1.096,54,,,,,,
498,1,1,1,98,,,,,,
499,1,1,1,85,,,,,,
500,1,1,1.052,92,,,,,,
501,1,1,1.06,68,,,,,,
502,1,1,1.201,81,,,,,,
503,1,1,3.93,142,,,,,,
504,1,1,0.868,38,,,,,,
505,1,1,2.548,34,,,,,,
506,1,1,1,33,,,,,,
507,1,1,1,100,,,,,,
508,1,1,1.183,104,,,,,,
509,1,1,0.84,52,,,,,,
510,1,1,1,118,,,,,,
511,1,1,1,38,,,,,,
512,1,1,3.893,58,,,,,,
513,1,1,0.996,117,,,,,,
514,1,1,0.662,27,,,,,,
515,1,1,1,97,,,,,,
516,1,1,1,38,,,,,,
517,1,1,1.051,44,,,,,,
518,1,1,1,83,,,,,,
519,1,1,1.198,45,,,,,,
520,1,1,1,56,,,,,,
521,1,1,1.378,60,,,,,,
522,1,1,3.042,111,,,,,,
523,1,1.29,1,97,,,,,,
524,1,1,1,48,,,,,,
525,1,1,1,70,,,,,,
526,1,1,0.294,64,,,,,,
527,1,1,1,46,,,,,,
528,1,1,2.959,98,,,,,,
529,1,1,0.973,86,,,,,,
530,1,1,0.986,74,,,,,,
531,1,1,1,29,,,,,,
532,1,1,0.994,94,,,,,,
533,1,1,2.135,41,,,,,,
534,1,1,1.076,80,,,,,,
535,1,1,1,86,,,,,,
536,1,1,1.852,106,,,,,,
537,1,1,0.806,119,,,,,,
538,1,1,1,46,,,,,,
539,1,1,3.572,96,,,,,,
540,1,1,1.115,105,,,,,,
541,1,1,1.021,137,,,,,,
542,1,1,1,35,,,,,,
543,1,1,1.566,135,,,,,,
544,1,1,0.966,69,,,,,,
545,1,1,1.182,96,,,,,,
546,1,1,1,102,,,,,,
547,1,1,0.902,44,,,,,,
548,1,1,1.129,92,,,,,,
549,1,1,0.988,145,,,,,,
550,1,1,1,79,,,,,,
551,1,1,1.093,80,,,,,,
552,1,1,1.16,109,,,,,,
553,1,1,1.087,63,,,,,,
554,1,1,1.096,116,,,,,,
555,1,1,2.459,56,,,,,,
556,1,1,0.482,26,,,,,,
557,1,1,1.263,93,,,,,,
558,1,1,1,111,,,,,,
559,1,1,1,68,,,,,,
560,1,1,1,45,,,,,,
561,1,1,1.012,49,,,,,,
562,1,1,1,69,,,,,,
563,1,1,1.728,26,,,,,,
564,1,1,1.093,50,,,,,,
565,1,1,1.277,80,,,,,,
566,1,1,1,109,,,,,,
567,1,1,0.803,64,,,,,,
568,1,1,0.916,58,,,,,,
569,1,1,1,86,,,,,,
570,1,1,1,32,,,,,,
571,1,1,1.102,48,,,,,,
572,1,1,1.007,47,,,,,,
573,1,1,1.094,36,,,,,,
574,1,1,1.121,41,,,,,,
575,1,1,1,123,,,,,,
576,1,1,0.848,79,,,,,,
577,1,1,1,62,,,,,,
578,1,1,1.198,104,,,,,,
579,1,1,1,78,,,,,,
580,1,1,0.481,51,,,,,,
581,1,1,1,90,,,,,,
582,1,1,1.802,105,,,,,,
583,1,1,1.092,47,,,,,,
584,1,1,1,71,,,,,,
585,1,1,1.068,57,,,,,,
586,1,1,4.205,64,,,,,,
587,1,1,1,123,,,,,,
588,1,1,2.39,28,,,,,,
589,1,1,1,52,,,,,,
590,1,1,0.887,84,,,,,,
591,1,1,3.163,86,,,,,,
592,1,1,1.024,34,,,,,,
593,1,1,1.222,84,,,,,,
594,1,1,0.99,64,,,,,,
595,1,1,1.01,121,,,,,,
596,1,1,0.283,64,,,,,,
597,1,1,1.056,132,,,,,,
598,1,1,1,46,,,,,,
599,1,1,1.003,85,,,,,,
600,1,1,1,44,,,,,,
601,1,1,0.806,101,,,,,,
602,1,1,1.127,86,,,,,,
603,1,1,0.971,58,,,,,,
604,1,1,1,103,,,,,,
605,1,1,1,69,,,,,,
606,1,1,1,46,,,,,,
607,1,1,1.144,34,,,,,,
608,1,1,1,121,,,,,,
609,1,1,1.074,38,,,,,,
610,1,1,1.157,84,,,,,,
611,1,1,1,44,,,,,,
612,1,1,1,102,,,,,,
613,1,1,1,54,,,,,,
614,1,1,1,98,,,,,,
615,1,1,1.054,63,,,,,,
616,1,1,1,50,,,,,,
617,1,1,1,60,,,,,,
618,1,1,1.088,62,,,,,,
619,1,1,1.202,106,,,,,,
620,1,1,1.23,65,,,,,,
621,1,1,1.293,112,,,,,,
622,1,1,1,113,,,,,,
623,1,1,0.995,84,,,,,,
624,1,1,1,43,,,,,,
625,1,1,1.168,68,,,,,,
626,1,1,1,87,,,,,,
627,1,1,0.531,60,,,,,,
628,1,1,1,21,,,,,,
629,1,1,2.529,29,,,,,,
630,1,1,1.283,96,,,,,,
631,1,1,1.202,72,,,,,,
632,1,1,1,65,,,,,,
633,1,1,1.181,18,,,,,,
634,1,1,0.829,102,,,,,,
635,1,1,1.209,111,,,,,,
636,1,1,1.553,78,,,,,,
637,1,1,1.037,106,,,,,,
638,1,1,0.474,74,,,,,,
639,1,1,1.11,75,,,,,,
640,1,1,1,107,,,,,,
641,1,1,1.329,125,,,,,,
642,1,1,1.739,52,,,,,,
643,1,1,1,60,,,,,,
644,1,1,3.488,141,,,,,,
645,1,1,1,103,,,,,,
646,1,1,1.382,100,,,,,,
647,1,1,1.084,41,,,,,,
648,1,1,1,53,,,,,,
649,1,1,1.029,55,,,,,,
650,1,1,2.717,22,,,,,,
651,1,1,1.389,39,,,,,,
652,1,1,0.396,31,,,,,,
653,1,1,1,46,,,,,,
654,1,1,1,31,,,,,,
655,1,1,1,35,,,,,,
656,1,1,0.922,58,,,,,,
657,1,1,1.164,76,,,,,,
658,1,1,1,99,,,,,,
659,1,1,1,66,,,,,,
660,1,1,1.227,70,,,,,,
661,1,1,1.135,33,,,,,,
662,1,1,1,99,,,,,,
663,1,1,0.817,68,,,,,,
664,1,1,1.18,51,,,,,,
665,1,1,1,60,,,,,,
666,1,1,1,49,,,,,,
667,1,1,1,38,,,,,,
668,1,1,0.684,85,,,,,,
669,1,1,1,34,,,,,,
670,1,1,0.971,34,,,,,,
671,1,1,1,94,,,,,,
672,1,1,0.428,104,,,,,,
673,1,1,0.566,96,,,,,,
674,1,1,1,48,,,,,,
675,1,1,1,85,,,,,,
676,1,1,1.29,32,,,,,,
677,1,1,1.203,110,,,,,,
678,1,1,1.372,28,,,,,,
679,1,1,1,44,,,,,,
680,1,1,1,75,,,,,,
681,1,1,0.773,117,,,,,,
682,1,1,1,35,,,,,,
683,1,1,1,26,,,,,,
684,1,1,1,99,,,,,,
685,1,0.999,0.546,67,,,,,,
686,1,1,0.365,26,,,,,,
687,1,1,3.07,86,,,,,,
688,1,1,1.098,45,,,,,,
689,1,1,1.072,52,,,,,,
690,1,1,1.28,118,,,,,,
691,1,1,1,27,,,,,,
692,1,1.001,0.907,52,,,,,,
693,1,1,0.549,42,,,,,,
694,1,1,0.884,79,,,,,,
695,1,1,1,82,,,,,,
696,1,1,0.356,42,,,,,,
697,1,1,0.452,117,,,,,,
698,1,1,0.676,63,,,,,,
699,1,1,1,88,,,,,,
700,1,1,1.032,88,,,,,,
701,1,1,0.842,93,,,,,,
702,1,1,1,56,,,,,,
703,1,1,0.816,108,,,,,,
704,1,1,1.072,40,,,,,,
705,1,1,0.995,36,,,,,,
706,1,1,1,53,,,,,,
707,1,1,1.225,85,,,,,,
708,1,1,1.223,121,,,,,,
709,1,1,1,52,,,,,,
710,1,1,1.593,72,,,,,,
711,1,1,0.999,93,,,,,,
712,1,1,1.263,112,,,,,,
713,1,1,0.991,57,,,,,,
714,1,1,1,110,,,,,,
715,1,1,0.725,99,,,,,,
716,1,1,1.049,42,,,,,,
717,1,1,1.885,101,,,,,,
718,1,1,0.266,39,,,,,,
719,1,1,1,24,,,,,,
